CODIGO;TITULO;
122710;Diretor de produtos bancários;"INSERT INTO states (code, title) VALUES ('122710','Diretor de produtos bancários');"
122715;Diretor de crédito rural;"INSERT INTO states (code, title) VALUES ('122715','Diretor de crédito rural');"
122720;Diretor de câmbio e comércio exterior;"INSERT INTO states (code, title) VALUES ('122720','Diretor de câmbio e comércio exterior');"
122725;Diretor de compliance;"INSERT INTO states (code, title) VALUES ('122725','Diretor de compliance');"
122730;Diretor de crédito (exceto crédito imobiliário);"INSERT INTO states (code, title) VALUES ('122730','Diretor de crédito (exceto crédito imobiliário)');"
122735;Diretor de crédito imobiliário;"INSERT INTO states (code, title) VALUES ('122735','Diretor de crédito imobiliário');"
122740;Diretor de leasing;"INSERT INTO states (code, title) VALUES ('122740','Diretor de leasing');"
122745;Diretor de mercado de capitais;"INSERT INTO states (code, title) VALUES ('122745','Diretor de mercado de capitais');"
122750;Diretor de recuperação de créditos em operações de intermediação financeira;"INSERT INTO states (code, title) VALUES ('122750','Diretor de recuperação de créditos em operações de intermediação financeira');"
122755;Diretor de riscos de mercado;"INSERT INTO states (code, title) VALUES ('122755','Diretor de riscos de mercado');"
123105;Diretor administrativo;"INSERT INTO states (code, title) VALUES ('123105','Diretor administrativo');"
123110;Diretor administrativo e financeiro;"INSERT INTO states (code, title) VALUES ('123110','Diretor administrativo e financeiro');"
123115;Diretor financeiro;"INSERT INTO states (code, title) VALUES ('123115','Diretor financeiro');"
123205;Diretor de recursos humanos;"INSERT INTO states (code, title) VALUES ('123205','Diretor de recursos humanos');"
123210;Diretor de relações de trabalho;"INSERT INTO states (code, title) VALUES ('123210','Diretor de relações de trabalho');"
123305;Diretor comercial;"INSERT INTO states (code, title) VALUES ('123305','Diretor comercial');"
123310;Diretor de marketing;"INSERT INTO states (code, title) VALUES ('123310','Diretor de marketing');"
123405;Diretor de suprimentos;"INSERT INTO states (code, title) VALUES ('123405','Diretor de suprimentos');"
123410;Diretor de suprimentos no serviço público;"INSERT INTO states (code, title) VALUES ('123410','Diretor de suprimentos no serviço público');"
123605;Diretor de serviços de informática;"INSERT INTO states (code, title) VALUES ('123605','Diretor de serviços de informática');"
