CODIGO;TITULO;
391105;Cronoanalista;"INSERT INTO states (code, title) VALUES ('391105','Cronoanalista');"
391110;Cronometrista;"INSERT INTO states (code, title) VALUES ('391110','Cronometrista');"
391115;Controlador de entrada e saída;"INSERT INTO states (code, title) VALUES ('391115','Controlador de entrada e saída');"
391205;Inspetor de qualidade;"INSERT INTO states (code, title) VALUES ('391205','Inspetor de qualidade');"
391210;Técnico de garantia da qualidade;"INSERT INTO states (code, title) VALUES ('391210','Técnico de garantia da qualidade');"
391215;Operador de inspeção de qualidade;"INSERT INTO states (code, title) VALUES ('391215','Operador de inspeção de qualidade');"
391220;Técnico de painel de controle;"INSERT INTO states (code, title) VALUES ('391220','Técnico de painel de controle');"
391230;Técnico operacional de serviços de correios;"INSERT INTO states (code, title) VALUES ('391230','Técnico operacional de serviços de correios');"
391225;Escolhedor de papel;"INSERT INTO states (code, title) VALUES ('391225','Escolhedor de papel');"
395105;Técnico de apoio em pesquisa e desenvolvimento (exceto agropecuário e florestal);"INSERT INTO states (code, title) VALUES ('395105','Técnico de apoio em pesquisa e desenvolvimento (exceto agropecuário e florestal)');"
395110;Técnico de apoio em pesquisa e desenvolvimento agropecuário florestal;"INSERT INTO states (code, title) VALUES ('395110','Técnico de apoio em pesquisa e desenvolvimento agropecuário florestal');"
410105;Supervisor administrativo;"INSERT INTO states (code, title) VALUES ('410105','Supervisor administrativo');"
410225;Supervisor de crédito e cobrança;"INSERT INTO states (code, title) VALUES ('410225','Supervisor de crédito e cobrança');"
410220;Supervisor de controle patrimonial;"INSERT INTO states (code, title) VALUES ('410220','Supervisor de controle patrimonial');"
410215;Supervisor de contas a pagar;"INSERT INTO states (code, title) VALUES ('410215','Supervisor de contas a pagar');"
410235;Supervisor de tesouraria;"INSERT INTO states (code, title) VALUES ('410235','Supervisor de tesouraria');"
410205;Supervisor de almoxarifado;"INSERT INTO states (code, title) VALUES ('410205','Supervisor de almoxarifado');"
410240;Supervisor de logística;"INSERT INTO states (code, title) VALUES ('410240','Supervisor de logística');"
410230;Supervisor de orçamento;"INSERT INTO states (code, title) VALUES ('410230','Supervisor de orçamento');"
410210;Supervisor de câmbio;"INSERT INTO states (code, title) VALUES ('410210','Supervisor de câmbio');"
411050;Agente de microcrédito;"INSERT INTO states (code, title) VALUES ('411050','Agente de microcrédito');"
411005;Auxiliar de escritório;"INSERT INTO states (code, title) VALUES ('411005','Auxiliar de escritório');"
411010;Assistente administrativo;"INSERT INTO states (code, title) VALUES ('411010','Assistente administrativo');"
411015;Atendente de judiciário;"INSERT INTO states (code, title) VALUES ('411015','Atendente de judiciário');"
411020;Auxiliar de judiciário;"INSERT INTO states (code, title) VALUES ('411020','Auxiliar de judiciário');"
411025;Auxiliar de cartório;"INSERT INTO states (code, title) VALUES ('411025','Auxiliar de cartório');"
411030;Auxiliar de pessoal;"INSERT INTO states (code, title) VALUES ('411030','Auxiliar de pessoal');"
411035;Auxiliar de estatística;"INSERT INTO states (code, title) VALUES ('411035','Auxiliar de estatística');"
411040;Auxiliar de seguros;"INSERT INTO states (code, title) VALUES ('411040','Auxiliar de seguros');"
411045;Auxiliar de serviços de importação e exportação;"INSERT INTO states (code, title) VALUES ('411045','Auxiliar de serviços de importação e exportação');"
412105;Datilógrafo;"INSERT INTO states (code, title) VALUES ('412105','Datilógrafo');"
412110;Digitador;"INSERT INTO states (code, title) VALUES ('412110','Digitador');"
412115;Operador de mensagens de telecomunicações (correios);"INSERT INTO states (code, title) VALUES ('412115','Operador de mensagens de telecomunicações (correios)');"
412120;Supervisor de digitação e operação;"INSERT INTO states (code, title) VALUES ('412120','Supervisor de digitação e operação');"
412205;Contínuo;"INSERT INTO states (code, title) VALUES ('412205','Contínuo');"
413105;Analista de folha de pagamento;"INSERT INTO states (code, title) VALUES ('413105','Analista de folha de pagamento');"
413110;Auxiliar de contabilidade;"INSERT INTO states (code, title) VALUES ('413110','Auxiliar de contabilidade');"
413115;Auxiliar de faturamento;"INSERT INTO states (code, title) VALUES ('413115','Auxiliar de faturamento');"
413205;Atendente de agência;"INSERT INTO states (code, title) VALUES ('413205','Atendente de agência');"
413210;Caixa de banco;"INSERT INTO states (code, title) VALUES ('413210','Caixa de banco');"
413215;Compensador de banco;"INSERT INTO states (code, title) VALUES ('413215','Compensador de banco');"
413220;Conferente de serviços bancários;"INSERT INTO states (code, title) VALUES ('413220','Conferente de serviços bancários');"
413225;Escriturário de banco;"INSERT INTO states (code, title) VALUES ('413225','Escriturário de banco');"
413230;Operador de cobrança bancária;"INSERT INTO states (code, title) VALUES ('413230','Operador de cobrança bancária');"
414125;Estoquista;"INSERT INTO states (code, title) VALUES ('414125','Estoquista');"
414135;Expedidor de mercadorias;"INSERT INTO states (code, title) VALUES ('414135','Expedidor de mercadorias');"
414140;Auxiliar de logistica;"INSERT INTO states (code, title) VALUES ('414140','Auxiliar de logistica');"
414105;Almoxarife;"INSERT INTO states (code, title) VALUES ('414105','Almoxarife');"
414110;Armazenista;"INSERT INTO states (code, title) VALUES ('414110','Armazenista');"
414115;Balanceiro;"INSERT INTO states (code, title) VALUES ('414115','Balanceiro');"
414120;Conferente mercadoria (exceto carga e descarga);"INSERT INTO states (code, title) VALUES ('414120','Conferente mercadoria (exceto carga e descarga)');"
414210;Apontador de produção;"INSERT INTO states (code, title) VALUES ('414210','Apontador de produção');"
414205;Apontador de mão-de-obra;"INSERT INTO states (code, title) VALUES ('414205','Apontador de mão-de-obra');"
414215;Conferente de carga e descarga;"INSERT INTO states (code, title) VALUES ('414215','Conferente de carga e descarga');"
415125;Kardexista;"INSERT INTO states (code, title) VALUES ('415125','Kardexista');"
415130;Operador de máquina copiadora (exceto operador de gráfica rápida);"INSERT INTO states (code, title) VALUES ('415130','Operador de máquina copiadora (exceto operador de gráfica rápida)');"
415120;Fitotecário;"INSERT INTO states (code, title) VALUES ('415120','Fitotecário');"
415105;Arquivista de documentos;"INSERT INTO states (code, title) VALUES ('415105','Arquivista de documentos');"
415115;Codificador de dados;"INSERT INTO states (code, title) VALUES ('415115','Codificador de dados');"
415205;Carteiro;"INSERT INTO states (code, title) VALUES ('415205','Carteiro');"
415215;Entregador de publicações;"INSERT INTO states (code, title) VALUES ('415215','Entregador de publicações');"
415210;Operador de triagem e transbordo;"INSERT INTO states (code, title) VALUES ('415210','Operador de triagem e transbordo');"
420135;Supervisor de telemarketing e atendimento;"INSERT INTO states (code, title) VALUES ('420135','Supervisor de telemarketing e atendimento');"
420130;Supervisor de telefonistas;"INSERT INTO states (code, title) VALUES ('420130','Supervisor de telefonistas');"
420125;Supervisor de recepcionistas;"INSERT INTO states (code, title) VALUES ('420125','Supervisor de recepcionistas');"
420120;Supervisor de entrevistadores e recenseadores;"INSERT INTO states (code, title) VALUES ('420120','Supervisor de entrevistadores e recenseadores');"
420115;Supervisor de coletadores de apostas e de jogos;"INSERT INTO states (code, title) VALUES ('420115','Supervisor de coletadores de apostas e de jogos');"
420105;Supervisor de caixas e bilheteiros (exceto caixa de banco);"INSERT INTO states (code, title) VALUES ('420105','Supervisor de caixas e bilheteiros (exceto caixa de banco)');"
420110;Supervisor de cobrança;"INSERT INTO states (code, title) VALUES ('420110','Supervisor de cobrança');"
421120;Emissor de passagens;"INSERT INTO states (code, title) VALUES ('421120','Emissor de passagens');"
421125;Operador de caixa;"INSERT INTO states (code, title) VALUES ('421125','Operador de caixa');"
421115;Bilheteiro no serviço de diversões;"INSERT INTO states (code, title) VALUES ('421115','Bilheteiro no serviço de diversões');"
421110;Bilheteiro de transportes coletivos;"INSERT INTO states (code, title) VALUES ('421110','Bilheteiro de transportes coletivos');"
421105;Atendente comercial (agência postal);"INSERT INTO states (code, title) VALUES ('421105','Atendente comercial (agência postal)');"
421210;Recebedor de apostas (turfe);"INSERT INTO states (code, title) VALUES ('421210','Recebedor de apostas (turfe)');"
421205;Recebedor de apostas (loteria);"INSERT INTO states (code, title) VALUES ('421205','Recebedor de apostas (loteria)');"
421315;Localizador (cobrador);"INSERT INTO states (code, title) VALUES ('421315','Localizador (cobrador)');"
421310;Cobrador interno;"INSERT INTO states (code, title) VALUES ('421310','Cobrador interno');"
421305;Cobrador externo;"INSERT INTO states (code, title) VALUES ('421305','Cobrador externo');"
422125;Recepcionista de banco;"INSERT INTO states (code, title) VALUES ('422125','Recepcionista de banco');"
422120;Recepcionista de hotel;"INSERT INTO states (code, title) VALUES ('422120','Recepcionista de hotel');"
422115;Recepcionista de seguro saúde;"INSERT INTO states (code, title) VALUES ('422115','Recepcionista de seguro saúde');"
422130;Concierge;"INSERT INTO states (code, title) VALUES ('422130','Concierge');"
422105;Recepcionista, em geral;"INSERT INTO states (code, title) VALUES ('422105','Recepcionista, em geral');"
422110;Recepcionista de consultório médico ou dentário;"INSERT INTO states (code, title) VALUES ('422110','Recepcionista de consultório médico ou dentário');"
422220;Operador de rádio-chamada;"INSERT INTO states (code, title) VALUES ('422220','Operador de rádio-chamada');"
422205;Telefonista;"INSERT INTO states (code, title) VALUES ('422205','Telefonista');"
422210;Teleoperador;"INSERT INTO states (code, title) VALUES ('422210','Teleoperador');"
422215;Monitor de teleatendimento;"INSERT INTO states (code, title) VALUES ('422215','Monitor de teleatendimento');"
422315;Operador de telemarketing receptivo;"INSERT INTO states (code, title) VALUES ('422315','Operador de telemarketing receptivo');"
422320;Operador de telemarketing técnico;"INSERT INTO states (code, title) VALUES ('422320','Operador de telemarketing técnico');"
422310;Operador de telemarketing ativo e receptivo;"INSERT INTO states (code, title) VALUES ('422310','Operador de telemarketing ativo e receptivo');"
422305;Operador de telemarketing ativo;"INSERT INTO states (code, title) VALUES ('422305','Operador de telemarketing ativo');"
423105;Despachante documentalista;"INSERT INTO states (code, title) VALUES ('423105','Despachante documentalista');"
423110;Despachante de trânsito;"INSERT INTO states (code, title) VALUES ('423110','Despachante de trânsito');"
424120;Entrevistador de preços;"INSERT INTO states (code, title) VALUES ('424120','Entrevistador de preços');"
424125;Escriturário  em  estatística;"INSERT INTO states (code, title) VALUES ('424125','Escriturário  em  estatística');"
424130;Entrevistador social;"INSERT INTO states (code, title) VALUES ('424130','Entrevistador social');"
424105;Entrevistador censitário e de pesquisas amostrais;"INSERT INTO states (code, title) VALUES ('424105','Entrevistador censitário e de pesquisas amostrais');"
424110;Entrevistador de pesquisa de opinião e mídia;"INSERT INTO states (code, title) VALUES ('424110','Entrevistador de pesquisa de opinião e mídia');"
424115;Entrevistador de pesquisas de mercado;"INSERT INTO states (code, title) VALUES ('424115','Entrevistador de pesquisas de mercado');"
424210;Aplicador de provas (concurso, avaliação,exame);"INSERT INTO states (code, title) VALUES ('424210','Aplicador de provas (concurso, avaliação,exame)');"
424205;Coordenador de provas (concurso, avaliação, exame);"INSERT INTO states (code, title) VALUES ('424205','Coordenador de provas (concurso, avaliação, exame)');"
510105;Supervisor de transportes;"INSERT INTO states (code, title) VALUES ('510105','Supervisor de transportes');"
510110;Administrador de edifícios;"INSERT INTO states (code, title) VALUES ('510110','Administrador de edifícios');"
510115;Supervisor de andar;"INSERT INTO states (code, title) VALUES ('510115','Supervisor de andar');"
510120;Chefe de portaria de hotel;"INSERT INTO states (code, title) VALUES ('510120','Chefe de portaria de hotel');"
510130;Chefe de bar;"INSERT INTO states (code, title) VALUES ('510130','Chefe de bar');"
510135;Maître;"INSERT INTO states (code, title) VALUES ('510135','Maître');"
510205;Supervisor de lavanderia;"INSERT INTO states (code, title) VALUES ('510205','Supervisor de lavanderia');"
510305;Supervisor de bombeiros;"INSERT INTO states (code, title) VALUES ('510305','Supervisor de bombeiros');"
510310;Supervisor de vigilantes;"INSERT INTO states (code, title) VALUES ('510310','Supervisor de vigilantes');"
511115;Taifeiro (exceto militares);"INSERT INTO states (code, title) VALUES ('511115','Taifeiro (exceto militares)');"
511110;Comissário de trem;"INSERT INTO states (code, title) VALUES ('511110','Comissário de trem');"
511105;Comissário de vôo;"INSERT INTO states (code, title) VALUES ('511105','Comissário de vôo');"
511220;Bilheteiro (estações de metrô, ferroviárias e assemelhadas);"INSERT INTO states (code, title) VALUES ('511220','Bilheteiro (estações de metrô, ferroviárias e assemelhadas)');"
511205;Fiscal de transportes coletivos (exceto trem);"INSERT INTO states (code, title) VALUES ('511205','Fiscal de transportes coletivos (exceto trem)');"
511210;Despachante de transportes coletivos (exceto trem);"INSERT INTO states (code, title) VALUES ('511210','Despachante de transportes coletivos (exceto trem)');"
511215;Cobrador de transportes coletivos (exceto trem);"INSERT INTO states (code, title) VALUES ('511215','Cobrador de transportes coletivos (exceto trem)');"
511405;Guia de turismo;"INSERT INTO states (code, title) VALUES ('511405','Guia de turismo');"
511510;Condutor de turismo de pesca;"INSERT INTO states (code, title) VALUES ('511510','Condutor de turismo de pesca');"
511505;Condutor de turismo de aventura;"INSERT INTO states (code, title) VALUES ('511505','Condutor de turismo de aventura');"
512105;Empregado  doméstico  nos serviços gerais;"INSERT INTO states (code, title) VALUES ('512105','Empregado  doméstico  nos serviços gerais');"
512120;Empregado doméstico diarista;"INSERT INTO states (code, title) VALUES ('512120','Empregado doméstico diarista');"
512115;Empregado doméstico  faxineiro;"INSERT INTO states (code, title) VALUES ('512115','Empregado doméstico  faxineiro');"
512110;Empregado doméstico  arrumador;"INSERT INTO states (code, title) VALUES ('512110','Empregado doméstico  arrumador');"
513105;Mordomo de residência;"INSERT INTO states (code, title) VALUES ('513105','Mordomo de residência');"
513110;Mordomo de hotelaria;"INSERT INTO states (code, title) VALUES ('513110','Mordomo de hotelaria');"
513115;Governanta de hotelaria;"INSERT INTO states (code, title) VALUES ('513115','Governanta de hotelaria');"
513205;Cozinheiro geral;"INSERT INTO states (code, title) VALUES ('513205','Cozinheiro geral');"
513225;Cozinheiro de embarcações;"INSERT INTO states (code, title) VALUES ('513225','Cozinheiro de embarcações');"
513220;Cozinheiro de hospital;"INSERT INTO states (code, title) VALUES ('513220','Cozinheiro de hospital');"
513215;Cozinheiro industrial;"INSERT INTO states (code, title) VALUES ('513215','Cozinheiro industrial');"
513210;Cozinheiro do serviço doméstico;"INSERT INTO states (code, title) VALUES ('513210','Cozinheiro do serviço doméstico');"
513325;Guarda-roupeira de cinema;"INSERT INTO states (code, title) VALUES ('513325','Guarda-roupeira de cinema');"
513320;Camareiro de embarcações;"INSERT INTO states (code, title) VALUES ('513320','Camareiro de embarcações');"
513315;Camareiro  de hotel;"INSERT INTO states (code, title) VALUES ('513315','Camareiro  de hotel');"
513310;Camareira de televisão;"INSERT INTO states (code, title) VALUES ('513310','Camareira de televisão');"
513305;Camareira de teatro;"INSERT INTO states (code, title) VALUES ('513305','Camareira de teatro');"
513440;Barista;"INSERT INTO states (code, title) VALUES ('513440','Barista');"
513430;Copeiro de hospital;"INSERT INTO states (code, title) VALUES ('513430','Copeiro de hospital');"
513425;Copeiro;"INSERT INTO states (code, title) VALUES ('513425','Copeiro');"
513420;Barman;"INSERT INTO states (code, title) VALUES ('513420','Barman');"
513415;Cumim;"INSERT INTO states (code, title) VALUES ('513415','Cumim');"
513410;Garçom (serviços de vinhos);"INSERT INTO states (code, title) VALUES ('513410','Garçom (serviços de vinhos)');"
513405;Garçom;"INSERT INTO states (code, title) VALUES ('513405','Garçom');"
513435;Atendente de lanchonete;"INSERT INTO states (code, title) VALUES ('513435','Atendente de lanchonete');"
513505;Auxiliar nos serviços de alimentação;"INSERT INTO states (code, title) VALUES ('513505','Auxiliar nos serviços de alimentação');"
513605;Churrasqueiro;"INSERT INTO states (code, title) VALUES ('513605','Churrasqueiro');"
513610;Pizzaiolo;"INSERT INTO states (code, title) VALUES ('513610','Pizzaiolo');"
513615;Sushiman;"INSERT INTO states (code, title) VALUES ('513615','Sushiman');"
514105;Ascensorista;"INSERT INTO states (code, title) VALUES ('514105','Ascensorista');"
514120;Zelador de edifício;"INSERT INTO states (code, title) VALUES ('514120','Zelador de edifício');"
514115;Sacristão;"INSERT INTO states (code, title) VALUES ('514115','Sacristão');"
514110;Garagista;"INSERT INTO states (code, title) VALUES ('514110','Garagista');"
514215;Varredor de rua;"INSERT INTO states (code, title) VALUES ('514215','Varredor de rua');"
514225;Trabalhador de serviços de limpeza e conservação de áreas públicas;"INSERT INTO states (code, title) VALUES ('514225','Trabalhador de serviços de limpeza e conservação de áreas públicas');"
514205;Coletor de lixo domiciliar;"INSERT INTO states (code, title) VALUES ('514205','Coletor de lixo domiciliar');"
514230;Coletor de resíduos sólidos de serviços de saúde;"INSERT INTO states (code, title) VALUES ('514230','Coletor de resíduos sólidos de serviços de saúde');"
514305;Limpador de vidros;"INSERT INTO states (code, title) VALUES ('514305','Limpador de vidros');"
514310;Auxiliar de manutenção predial;"INSERT INTO states (code, title) VALUES ('514310','Auxiliar de manutenção predial');"
514315;Limpador de fachadas;"INSERT INTO states (code, title) VALUES ('514315','Limpador de fachadas');"
514320;Faxineiro;"INSERT INTO states (code, title) VALUES ('514320','Faxineiro');"
514330;Limpador de piscinas;"INSERT INTO states (code, title) VALUES ('514330','Limpador de piscinas');"
514325;Trabalhador da manutenção de edificações;"INSERT INTO states (code, title) VALUES ('514325','Trabalhador da manutenção de edificações');"
515140;Agente de combate às endemias;"INSERT INTO states (code, title) VALUES ('515140','Agente de combate às endemias');"
515105;Agente comunitário de saúde;"INSERT INTO states (code, title) VALUES ('515105','Agente comunitário de saúde');"
515110;Atendente de enfermagem;"INSERT INTO states (code, title) VALUES ('515110','Atendente de enfermagem');"
515115;Parteira leiga;"INSERT INTO states (code, title) VALUES ('515115','Parteira leiga');"
515120;Visitador sanitário;"INSERT INTO states (code, title) VALUES ('515120','Visitador sanitário');"
515125;Agente indígena de saúde;"INSERT INTO states (code, title) VALUES ('515125','Agente indígena de saúde');"
515130;Agente indígena de saneamento;"INSERT INTO states (code, title) VALUES ('515130','Agente indígena de saneamento');"
515135;Socorrista (exceto médicos e enfermeiros);"INSERT INTO states (code, title) VALUES ('515135','Socorrista (exceto médicos e enfermeiros)');"
515220;Auxiliar de laboratório de imunobiológicos;"INSERT INTO states (code, title) VALUES ('515220','Auxiliar de laboratório de imunobiológicos');"
515225;Auxiliar de produção farmacêutica;"INSERT INTO states (code, title) VALUES ('515225','Auxiliar de produção farmacêutica');"
515215;Auxiliar de laboratório de análises clínicas;"INSERT INTO states (code, title) VALUES ('515215','Auxiliar de laboratório de análises clínicas');"
515210;Auxiliar de farmácia de manipulação;"INSERT INTO states (code, title) VALUES ('515210','Auxiliar de farmácia de manipulação');"
515205;Auxiliar de banco de sangue;"INSERT INTO states (code, title) VALUES ('515205','Auxiliar de banco de sangue');"
515325;Sócioeducador;"INSERT INTO states (code, title) VALUES ('515325','Sócioeducador');"
515320;Conselheiro tutelar;"INSERT INTO states (code, title) VALUES ('515320','Conselheiro tutelar');"
515315;Monitor de dependente químico;"INSERT INTO states (code, title) VALUES ('515315','Monitor de dependente químico');"
515310;Agente de ação social;"INSERT INTO states (code, title) VALUES ('515310','Agente de ação social');"
515305;Educador social;"INSERT INTO states (code, title) VALUES ('515305','Educador social');"
515330;Monitor de ressocialização prisional;"INSERT INTO states (code, title) VALUES ('515330','Monitor de ressocialização prisional');"
516105;Barbeiro;"INSERT INTO states (code, title) VALUES ('516105','Barbeiro');"
516130;Maquiador de caracterização;"INSERT INTO states (code, title) VALUES ('516130','Maquiador de caracterização');"
516125;Maquiador;"INSERT INTO states (code, title) VALUES ('516125','Maquiador');"
516120;Manicure;"INSERT INTO states (code, title) VALUES ('516120','Manicure');"
516140;Pedicure;"INSERT INTO states (code, title) VALUES ('516140','Pedicure');"
516110;Cabeleireiro;"INSERT INTO states (code, title) VALUES ('516110','Cabeleireiro');"
516205;Babá;"INSERT INTO states (code, title) VALUES ('516205','Babá');"
516210;Cuidador de idosos;"INSERT INTO states (code, title) VALUES ('516210','Cuidador de idosos');"
516215;Mãe social;"INSERT INTO states (code, title) VALUES ('516215','Mãe social');"
516220;Cuidador em saúde;"INSERT INTO states (code, title) VALUES ('516220','Cuidador em saúde');"
516320;Limpador a seco, à máquina;"INSERT INTO states (code, title) VALUES ('516320','Limpador a seco, à máquina');"
516315;Lavador de artefatos de tapeçaria;"INSERT INTO states (code, title) VALUES ('516315','Lavador de artefatos de tapeçaria');"
516310;Lavador de roupas  a maquina;"INSERT INTO states (code, title) VALUES ('516310','Lavador de roupas  a maquina');"
516305;Lavadeiro, em geral;"INSERT INTO states (code, title) VALUES ('516305','Lavadeiro, em geral');"
516325;Passador de roupas em geral;"INSERT INTO states (code, title) VALUES ('516325','Passador de roupas em geral');"
516345;Auxiliar de lavanderia;"INSERT INTO states (code, title) VALUES ('516345','Auxiliar de lavanderia');"
516340;Atendente de lavanderia;"INSERT INTO states (code, title) VALUES ('516340','Atendente de lavanderia');"
516335;Conferente-expedidor de roupas (lavanderias);"INSERT INTO states (code, title) VALUES ('516335','Conferente-expedidor de roupas (lavanderias)');"
516330;Tingidor de roupas;"INSERT INTO states (code, title) VALUES ('516330','Tingidor de roupas');"
516405;Lavador de roupas;"INSERT INTO states (code, title) VALUES ('516405','Lavador de roupas');"
516410;Limpador de roupas a seco, à mão;"INSERT INTO states (code, title) VALUES ('516410','Limpador de roupas a seco, à mão');"
516415;Passador de roupas, à mão;"INSERT INTO states (code, title) VALUES ('516415','Passador de roupas, à mão');"
516505;Agente funerário;"INSERT INTO states (code, title) VALUES ('516505','Agente funerário');"
516605;Operador de forno (serviços funerários);"INSERT INTO states (code, title) VALUES ('516605','Operador de forno (serviços funerários)');"
516610;Sepultador;"INSERT INTO states (code, title) VALUES ('516610','Sepultador');"
516710;Numerólogo;"INSERT INTO states (code, title) VALUES ('516710','Numerólogo');"
516705;Astrólogo;"INSERT INTO states (code, title) VALUES ('516705','Astrólogo');"
516805;Esotérico;"INSERT INTO states (code, title) VALUES ('516805','Esotérico');"
516810;Paranormal;"INSERT INTO states (code, title) VALUES ('516810','Paranormal');"
517115;Salva-vidas;"INSERT INTO states (code, title) VALUES ('517115','Salva-vidas');"
517110;Bombeiro civil;"INSERT INTO states (code, title) VALUES ('517110','Bombeiro civil');"
517105;Bombeiro de aeródromo;"INSERT INTO states (code, title) VALUES ('517105','Bombeiro de aeródromo');"
517215;Guarda-civil municipal;"INSERT INTO states (code, title) VALUES ('517215','Guarda-civil municipal');"
517210;Policial rodoviário federal;"INSERT INTO states (code, title) VALUES ('517210','Policial rodoviário federal');"
517205;Agente de polícia federal;"INSERT INTO states (code, title) VALUES ('517205','Agente de polícia federal');"
517220;Agente de trânsito;"INSERT INTO states (code, title) VALUES ('517220','Agente de trânsito');"
517330;Vigilante;"INSERT INTO states (code, title) VALUES ('517330','Vigilante');"
517325;Vigia portuário;"INSERT INTO states (code, title) VALUES ('517325','Vigia portuário');"
517320;Vigia florestal;"INSERT INTO states (code, title) VALUES ('517320','Vigia florestal');"
517315;Agente de segurança penitenciária;"INSERT INTO states (code, title) VALUES ('517315','Agente de segurança penitenciária');"
517310;Agente de segurança;"INSERT INTO states (code, title) VALUES ('517310','Agente de segurança');"
517305;Agente de proteção de aeroporto;"INSERT INTO states (code, title) VALUES ('517305','Agente de proteção de aeroporto');"
517335;Guarda portuário;"INSERT INTO states (code, title) VALUES ('517335','Guarda portuário');"
517405;Porteiro (hotel);"INSERT INTO states (code, title) VALUES ('517405','Porteiro (hotel)');"
517410;Porteiro de edifícios;"INSERT INTO states (code, title) VALUES ('517410','Porteiro de edifícios');"
517415;Porteiro de locais de diversão;"INSERT INTO states (code, title) VALUES ('517415','Porteiro de locais de diversão');"
517420;Vigia;"INSERT INTO states (code, title) VALUES ('517420','Vigia');"
517425;Fiscal de loja;"INSERT INTO states (code, title) VALUES ('517425','Fiscal de loja');"
519105;Ciclista mensageiro;"INSERT INTO states (code, title) VALUES ('519105','Ciclista mensageiro');"
519115;Mototaxista;"INSERT INTO states (code, title) VALUES ('519115','Mototaxista');"
519110;Motofretista;"INSERT INTO states (code, title) VALUES ('519110','Motofretista');"
519205;Catador de material reciclável;"INSERT INTO states (code, title) VALUES ('519205','Catador de material reciclável');"
519215;Operador de prensa de material reciclável;"INSERT INTO states (code, title) VALUES ('519215','Operador de prensa de material reciclável');"
519210;Selecionador de material reciclável;"INSERT INTO states (code, title) VALUES ('519210','Selecionador de material reciclável');"
519315;Banhista de animais domésticos;"INSERT INTO states (code, title) VALUES ('519315','Banhista de animais domésticos');"
519310;Esteticista de animais domésticos;"INSERT INTO states (code, title) VALUES ('519310','Esteticista de animais domésticos');"
519305;Auxiliar de veterinário;"INSERT INTO states (code, title) VALUES ('519305','Auxiliar de veterinário');"
519320;Tosador de animais domésticos;"INSERT INTO states (code, title) VALUES ('519320','Tosador de animais domésticos');"
519805;Profissional do sexo;"INSERT INTO states (code, title) VALUES ('519805','Profissional do sexo');"
519920;Gandula;"INSERT INTO states (code, title) VALUES ('519920','Gandula');"
519925;Guardador de veículos;"INSERT INTO states (code, title) VALUES ('519925','Guardador de veículos');"
519930;Lavador de garrafas, vidros e outros utensílios;"INSERT INTO states (code, title) VALUES ('519930','Lavador de garrafas, vidros e outros utensílios');"
519935;Lavador de veículos;"INSERT INTO states (code, title) VALUES ('519935','Lavador de veículos');"
519940;Leiturista;"INSERT INTO states (code, title) VALUES ('519940','Leiturista');"
519915;Engraxate;"INSERT INTO states (code, title) VALUES ('519915','Engraxate');"
519945;Recepcionista de casas de espetáculos;"INSERT INTO states (code, title) VALUES ('519945','Recepcionista de casas de espetáculos');"
519910;Controlador de pragas;"INSERT INTO states (code, title) VALUES ('519910','Controlador de pragas');"
519905;Cartazeiro;"INSERT INTO states (code, title) VALUES ('519905','Cartazeiro');"
520110;Supervisor de vendas comercial;"INSERT INTO states (code, title) VALUES ('520110','Supervisor de vendas comercial');"
520105;Supervisor de vendas de serviços;"INSERT INTO states (code, title) VALUES ('520105','Supervisor de vendas de serviços');"
521140;Atendente de lojas e mercados;"INSERT INTO states (code, title) VALUES ('521140','Atendente de lojas e mercados');"
521135;Frentista;"INSERT INTO states (code, title) VALUES ('521135','Frentista');"
521130;Atendente de farmácia - balconista;"INSERT INTO states (code, title) VALUES ('521130','Atendente de farmácia - balconista');"
521125;Repositor de mercadorias;"INSERT INTO states (code, title) VALUES ('521125','Repositor de mercadorias');"
521120;Demonstrador de mercadorias;"INSERT INTO states (code, title) VALUES ('521120','Demonstrador de mercadorias');"
521115;Promotor de vendas;"INSERT INTO states (code, title) VALUES ('521115','Promotor de vendas');"
521105;Vendedor em comércio atacadista;"INSERT INTO states (code, title) VALUES ('521105','Vendedor em comércio atacadista');"
521110;Vendedor de comércio varejista;"INSERT INTO states (code, title) VALUES ('521110','Vendedor de comércio varejista');"
523115;Chaveiro;"INSERT INTO states (code, title) VALUES ('523115','Chaveiro');"
523110;Instalador de som e acessórios de veículos;"INSERT INTO states (code, title) VALUES ('523110','Instalador de som e acessórios de veículos');"
523105;Instalador de cortinas e persianas, portas sanfonadas e boxe;"INSERT INTO states (code, title) VALUES ('523105','Instalador de cortinas e persianas, portas sanfonadas e boxe');"
524105;Vendedor em domicílio;"INSERT INTO states (code, title) VALUES ('524105','Vendedor em domicílio');"
524210;Jornaleiro (em banca de jornal);"INSERT INTO states (code, title) VALUES ('524210','Jornaleiro (em banca de jornal)');"
524215;Vendedor  permissionário;"INSERT INTO states (code, title) VALUES ('524215','Vendedor  permissionário');"
524205;Feirante;"INSERT INTO states (code, title) VALUES ('524205','Feirante');"
524310;Pipoqueiro ambulante;"INSERT INTO states (code, title) VALUES ('524310','Pipoqueiro ambulante');"
524305;Vendedor ambulante;"INSERT INTO states (code, title) VALUES ('524305','Vendedor ambulante');"
611005;Produtor agropecuário, em geral;"INSERT INTO states (code, title) VALUES ('611005','Produtor agropecuário, em geral');"
